"attribute","level","estimate","se","conf.low","conf.high","is_ref"
"Housing Cost","15% of pre-tax income",0,NA,0,0,TRUE
"Housing Cost","30% of pre-tax income",-0.137056408790519,0.0360143588993796,-0.207879087608788,-0.0662337299722508,FALSE
"Housing Cost","40% of pre-tax income",-0.198071963913904,0.0386298124328491,-0.274038350077992,-0.122105577749816,FALSE
"Presidential Vote (2020)","30% Democrat, 70% Republican",0,NA,0,0,TRUE
"Presidential Vote (2020)","50% Democrat, 50% Republican",0.0530466094618764,0.0372415422187472,-0.0201855692330244,0.126278788156777,FALSE
"Presidential Vote (2020)","70% Democrat, 30% Republican",-0.00269883523313386,0.0401783876044285,-0.0817065934524302,0.0763089229861625,FALSE
"Racial Composition","50% White, 50% Nonwhite",0,NA,0,0,TRUE
"Racial Composition","75% White, 25% Nonwhite",0.0366205829272121,0.0357001114585969,-0.0335838625067291,0.106825028361153,FALSE
"Racial Composition","90% White, 10% Nonwhite",-0.0226604301297443,0.0360875877472256,-0.0936253725009282,0.0483045122414396,FALSE
"Racial Composition","96% White, 4% Nonwhite",-0.0120426967428077,0.0381551024753637,-0.0870745455265333,0.0629891520409179,FALSE
"School Quality","5 out of 10",0,NA,0,0,TRUE
"School Quality","9 out of 10",0.115675274588577,0.042037382979478,0.032998438884425,0.198352110292728,FALSE
"Total Daily Driving Time for Commuting and Errands","10 min",0,NA,0,0,TRUE
"Total Daily Driving Time for Commuting and Errands","25 min",-0.0695768944403873,0.0352912651974443,-0.138977548024689,-0.000176240856085835,FALSE
"Total Daily Driving Time for Commuting and Errands","45 min",-0.140634277467128,0.0365262588643663,-0.212466262229054,-0.0688022927052023,FALSE
"Total Daily Driving Time for Commuting and Errands","75 min",-0.237267445631884,0.0367961799482895,-0.309627517082122,-0.164907374181647,FALSE
"Type of Place","City – downtown, with a mix of offices, apartments, and shops",0,NA,0,0,TRUE
"Type of Place","City, more residential area",0.114965243760096,0.0406599593987062,0.034993750670914,0.194936736849279,FALSE
"Type of Place","Rural area",0.134638727572867,0.0429330885403622,0.05019856232687,0.219078892818864,FALSE
"Type of Place","Small town",0.15780971961902,0.0417507151730723,0.0756929170461058,0.239926522191934,FALSE
"Type of Place","Suburban neighborhood with houses only",0.0786472493613043,0.0419451138010227,-0.00385143461222089,0.161145933334829,FALSE
"Type of Place","Suburban neighborhood with mix of shops, houses, businesses",0.146285353333867,0.0397366143934866,0.0681333047249857,0.224437401942748,FALSE
"Violent Crime Rate (Vs National Rate)","20% Less Crime Than National Average",0,NA,0,0,TRUE
"Violent Crime Rate (Vs National Rate)","20% More Crime Than National Average",-0.251162965432813,0.0422455134710054,-0.334248209397671,-0.168077721467955,FALSE
